Gene,log2FoldChange,baseMean,pvalue
ENSG00000156587,-0.494950591,979.9108945,0.000250455
ENSG00000169891,-0.879765268,117.4649496,0.000252521
ENSG00000063177,-0.592402991,13950.26511,0.000254055
ENSG00000134871,0.497076249,7080.010557,0.000256977
ENSG00000175063,-0.562889474,3115.672773,0.000259724
ENSG00000167965,-0.35430046,1346.316463,0.000259225
ENSG00000105258,-0.687057347,131.2872286,0.000262297
ENSG00000140988,-0.573623399,35942.95359,0.000263485
ENSG00000163170,-0.61505415,401.6912119,0.000264695
ENSG00000168913,-0.711896849,160.7284881,0.000266097
ENSG00000074201,-0.399485171,2917.31959,0.000270646
ENSG00000184677,0.800910319,1192.291335,0.000270737
ENSG00000175183,-0.366142275,3053.799492,0.000273123
ENSG00000203950,-0.494772768,746.7025663,0.000274038
ENSG00000103363,-0.607732198,2136.929111,0.000277022
ENSG00000143768,0.955940255,203.6068976,0.000276706
ENSG00000156482,-0.391584203,5796.507198,0.000278805
ENSG00000075223,0.950969128,128.1786355,0.000280666
ENSG00000149923,-0.409786811,2566.240961,0.00028186
ENSG00000204628,-0.480085483,30195.62114,0.000288865
ENSG00000113161,0.722607095,13650.27799,0.000289122
ENSG00000164050,0.536390841,6732.914641,0.000288183
ENSG00000262943,0.614553411,132.7763942,0.00028654
ENSG00000134250,0.420376992,4307.608372,0.000285454
ENSG00000100138,-0.383508069,2609.360635,0.000288326
ENSG00000136942,-0.579169735,9647.028759,0.000298434
ENSG00000124574,0.435486366,844.5600792,0.000298277
ENSG00000183248,-0.439415252,995.0010599,0.000300406
ENSG00000168090,-0.376164131,2403.229889,0.000302032
ENSG00000204531,-0.429143056,29066.82662,0.000304566
ENSG00000149428,0.620952352,12702.10057,0.000304867
ENSG00000197756,-0.591644026,17179.39868,0.000308537
ENSG00000149273,-0.481855598,34276.99844,0.00030703
ENSG00000196535,0.456583582,1350.571737,0.000308708
ENSG00000159409,0.725707924,86.46858247,0.000307366
